node,mixed,sit and wait,widely foraging
486,0.02,0.55,0.43
487,0.004,0.949,0.047
488,0.013,0.962,0.025
489,0.016,0.951,0.033
490,0.065,0.925,0.01
491,0.001,0.999,0
492,0,1,0
493,0.093,0.473,0.434
494,0.109,0.463,0.428
495,0.042,0.493,0.465
496,0.002,0.996,0.002
497,0,1,0
498,0,1,0
499,0,1,0
500,0,1,0
501,0,1,0
502,0,1,0
503,0.001,0.999,0
504,0,1,0
505,0,1,0
506,0.031,0.969,0
507,0,1,0
508,0,1,0
509,0.003,0.957,0.04
510,0.027,0.761,0.212
511,0.032,0.705,0.263
512,0.391,0.102,0.507
513,0.026,0.643,0.331
514,0.024,0.287,0.689
515,0,0.999,0.001
516,0.001,0.999,0
517,0.011,0.986,0.003
518,0.014,0.977,0.009
519,0,1,0
520,0,1,0
521,0,0.999,0.001
522,0,1,0
523,0.003,0.994,0.003
524,0,0.999,0.001
525,0.001,0.999,0
526,0.003,0.997,0
527,0.089,0.899,0.012
528,0,1,0
529,0,0.999,0.001
530,0,0.999,0.001
531,0.004,0.991,0.005
532,0.004,0.993,0.003
533,0,1,0
534,0.001,0.994,0.005
535,0.004,0.981,0.015
536,0.02,0.893,0.087
537,0.021,0.953,0.026
538,0.538,0.174,0.288
539,0.353,0.134,0.513
540,0.352,0.134,0.514
541,0.497,0.3,0.203
542,0.963,0.014,0.023
543,0,1,0
544,0,1,0
545,0.054,0.894,0.052
546,0.161,0.679,0.16
547,0,1,0
548,0.002,0.997,0.001
549,0.056,0.925,0.019
550,0.013,0.963,0.024
551,0.025,0.964,0.011
552,0.047,0.938,0.015
553,0,1,0
554,0.069,0.928,0.003
555,0.979,0.021,0
556,0.985,0.014,0.001
557,0.074,0.923,0.003
558,0.131,0.857,0.012
559,0,0.998,0.002
560,0.025,0.858,0.117
561,0.004,0.995,0.001
562,0.005,0.993,0.002
563,0.001,0.996,0.003
564,0.037,0.934,0.029
565,0.072,0.903,0.025
566,0.01,0.989,0.001
567,0.004,0.994,0.002
568,0,0.999,0.001
569,0.034,0.959,0.007
570,0.229,0.752,0.019
571,0.593,0.383,0.024
572,0.002,0.998,0
573,0.001,0.998,0.001
574,0.001,0.999,0
575,0.001,0.995,0.004
576,0.002,0.997,0.001
577,0.01,0.528,0.462
578,0.019,0.506,0.475
579,0.03,0.583,0.387
580,0,0.998,0.002
581,0,1,0
582,0.035,0.691,0.274
583,0.007,0.962,0.031
584,0,0.999,0.001
585,0,0.999,0.001
586,0.001,0.999,0
587,0,0.999,0.001
588,0.02,0.036,0.944
589,0.005,0.008,0.987
590,0.029,0.017,0.954
591,0.001,0,0.999
592,0,0,1
593,0,0.001,0.999
594,0,0.001,0.999
595,0,0,1
596,0,0,1
597,0,0,1
598,0,0,1
599,0,0.004,0.996
600,0,0.005,0.995
601,0,0,1
602,0,0,1
603,0,0,1
604,0,0,1
605,0,0,1
606,0.001,0,0.999
607,0,0,1
608,0,0,1
609,0,0,1
610,0,0,1
611,0,0.001,0.999
612,0,0.001,0.999
613,0.006,0.047,0.947
614,0,0,1
615,0,0,1
616,0,0,1
617,0,0,1
618,0,0,1
619,0,0,1
620,0,0,1
621,0,0,1
622,0,0,1
623,0.002,0,0.998
624,0,0,1
625,0,0,1
626,0,0,1
627,0,0,1
628,0,0,1
629,0,0.001,0.999
630,0,0,1
631,0.019,0.002,0.979
632,0.028,0.002,0.97
633,0.051,0.019,0.93
634,0.046,0.024,0.93
635,0.06,0.001,0.939
636,0.983,0.001,0.016
637,0,0,1
638,0,0,1
639,0,0,1
640,0,0,1
641,0,0,1
642,0,0,1
643,0,0,1
644,0,0,1
645,0.002,0,0.998
646,0.003,0,0.997
647,0.004,0.04,0.956
648,0.03,0.001,0.969
649,0.028,0.001,0.971
650,0.056,0.004,0.94
651,0.98,0.001,0.019
652,0.001,0,0.999
653,0.002,0,0.998
654,0,0,1
655,0.041,0.001,0.958
656,0.49,0,0.51
657,0.531,0,0.469
658,0.529,0.002,0.469
659,0,0,1
660,0.003,0.002,0.995
661,0,0,1
662,0,0,1
663,0,0,1
664,0,0,1
665,0,0,1
666,0,0,1
667,0,0,1
668,0,0.001,0.999
669,0.019,0.002,0.979
670,0,0,1
671,0,0,1
672,0,0,1
673,0,0,1
674,0,0,1
675,0,0,1
676,0,0,1
677,0,0,1
678,0,0,1
679,0,0,1
680,0,0,1
681,0.006,0.489,0.505
682,0.021,0.373,0.606
683,0.001,0.001,0.998
684,0,0.001,0.999
685,0.001,0.001,0.998
686,0,0,1
687,0,0,1
688,0,0,1
689,0,0,1
690,0,0,1
691,0,0,1
692,0.001,0,0.999
693,0,0,1
694,0,0,1
695,0,0,1
696,0,0,1
697,0,0,1
698,0,0,1
699,0,0,1
700,0,0,1
701,0,0,1
702,0,0,1
703,0,0,1
704,0.001,0.002,0.997
705,0.001,0.002,0.997
706,0,0,1
707,0.001,0.001,0.998
708,0,0,1
709,0,0,1
710,0,0,1
711,0,0,1
712,0,0,1
713,0.001,0.001,0.998
714,0.001,0,0.999
715,0,0,1
716,0,0,1
717,0.001,0.001,0.998
718,0,0,1
719,0.013,0.024,0.963
720,0.028,0.035,0.937
721,0.06,0.019,0.921
722,0.021,0.07,0.909
723,0.001,0.001,0.998
724,0,0,1
725,0,0,1
726,0,0,1
727,0.003,0,0.997
728,0.024,0.002,0.974
729,0,0.001,0.999
730,0.005,0.006,0.989
731,0.052,0.064,0.884
732,0.079,0.046,0.875
733,0.001,0.008,0.991
734,0.004,0.043,0.953
735,0,0,1
736,0,0,1
737,0,0,1
738,0,0,1
739,0,0.007,0.993
740,0.002,0.034,0.964
741,0.001,0,0.999
742,0.024,0.003,0.973
743,0.085,0.05,0.865
744,0.036,0.097,0.867
745,0.04,0.006,0.954
746,0,0,1
747,0,0,1
748,0,0,1
749,0,0,1
750,0,0,1
751,0,0,1
752,0,0,1
753,0,0,1
754,0,0,1
755,0,0,1
756,0,0,1
757,0,0,1
758,0,0,1
759,0,0,1
760,0,0.008,0.992
761,0,0,1
762,0,0.001,0.999
763,0,0.001,0.999
764,0,0,1
765,0,0,1
766,0,0,1
767,0.008,0.497,0.495
768,0.006,0.05,0.944
769,0.007,0.042,0.951
770,0.002,0,0.998
771,0.006,0.042,0.952
772,0.004,0.99,0.006
773,0.004,0.006,0.99
774,0,0,1
775,0.001,0.003,0.996
776,0,0,1
777,0,0,1
778,0.006,0.031,0.963
779,0.003,0,0.997
780,0.007,0,0.993
781,0,0,1
782,0.004,0.038,0.958
783,0,0,1
784,0,0,1
785,0,0,1
786,0,0,1
787,0,0,1
788,0,0,1
789,0,0.001,0.999
790,0,0,1
791,0.001,0,0.999
792,0.021,0.021,0.958
793,0.04,0.013,0.947
794,0,0,1
795,0,0,1
796,0,0,1
797,0,0,1
798,0,0,1
799,0,0.003,0.997
800,0.008,0.013,0.979
801,0.016,0.011,0.973
802,0.114,0.017,0.869
803,0.125,0.009,0.866
804,0.201,0.094,0.705
805,0,0.004,0.996
806,0,0.027,0.973
807,0,0,1
808,0.003,0.904,0.093
809,0.002,0.982,0.016
810,0.023,0.7,0.277
811,0.053,0.863,0.084
812,0.508,0.422,0.07
813,0.478,0.437,0.085
814,0.328,0.539,0.133
815,0.024,0.961,0.015
816,0.004,0.99,0.006
817,0.001,0.993,0.006
818,0,0.996,0.004
819,0,1,0
820,0,1,0
821,0,1,0
822,0,1,0
823,0,1,0
824,0,1,0
825,0,1,0
826,0,1,0
827,0,1,0
828,0,1,0
829,0,1,0
830,0,1,0
831,0,1,0
832,0,1,0
833,0.065,0.934,0.001
834,0,1,0
835,0,1,0
836,0.003,0.993,0.004
837,0.001,0.999,0
838,0.003,0.995,0.002
839,0.043,0.944,0.013
840,0,1,0
841,0,0.999,0.001
842,0.001,0.999,0
843,0.003,0.996,0.001
844,0.003,0.997,0
845,0.117,0.871,0.012
846,0.001,0.999,0
847,0.001,0.999,0
848,0.001,0.999,0
849,0.001,0.994,0.005
850,0.001,0.998,0.001
851,0.001,0.999,0
852,0.003,0.988,0.009
853,0.011,0.874,0.115
854,0.005,0.992,0.003
855,0,0.998,0.002
856,0,0.999,0.001
857,0,0.999,0.001
858,0,0.999,0.001
859,0.003,0.994,0.003
860,0.004,0.996,0
861,0.001,0.999,0
862,0.177,0.799,0.024
863,0.24,0.757,0.003
864,0.193,0.758,0.049
865,0.131,0.787,0.082
866,0,0.999,0.001
867,0.012,0.973,0.015
868,0.339,0.321,0.34
869,0,0.998,0.002
870,0,1,0
871,0,1,0
872,0,0.998,0.002
873,0,1,0
874,0,1,0
875,0,1,0
876,0,1,0
877,0,1,0
878,0,1,0
879,0.001,0.999,0
880,0,1,0
881,0,1,0
882,0,1,0
883,0,1,0
884,0,1,0
885,0,1,0
886,0,1,0
887,0,1,0
888,0,1,0
889,0,1,0
890,0,1,0
891,0,1,0
892,0,1,0
893,0,1,0
894,0,1,0
895,0,1,0
896,0,1,0
897,0,1,0
898,0,1,0
899,0,1,0
900,0,1,0
901,0.039,0.961,0
902,0.04,0.96,0
903,0.003,0.997,0
904,0.389,0.222,0.389
905,0,1,0
906,0.001,0.999,0
907,0,1,0
908,0,1,0
909,0.001,0.999,0
910,0,1,0
911,0,1,0
912,0,1,0
913,0,1,0
914,0,1,0
915,0,1,0
916,0,1,0
917,0,1,0
918,0,1,0
919,0,1,0
920,0.002,0.998,0
921,0,1,0
922,0,1,0
923,0,1,0
924,0,1,0
925,0,1,0
926,0,1,0
927,0,1,0
928,0,1,0
929,0,1,0
930,0.124,0.856,0.02
931,0,0.999,0.001
932,0,1,0
933,0.001,0.999,0
934,0,0.999,0.001
935,0.003,0.995,0.002
936,0.004,0.994,0.002
937,0,0.998,0.002
938,0,1,0
939,0,1,0
940,0.002,0.968,0.03
941,0,1,0
942,0,1,0
943,0,1,0
944,0,1,0
945,0,1,0
946,0,1,0
947,0,1,0
948,0.043,0.952,0.005
949,0,1,0
950,0,1,0
951,0,0.999,0.001
952,0.001,0.993,0.006
953,0,1,0
954,0,1,0
955,0.077,0.923,0
956,0.598,0.396,0.006
957,0,1,0
958,0,1,0
959,0,1,0
960,0.002,0.998,0
961,0,1,0
962,0,1,0
963,0,1,0
964,0,1,0
965,0,1,0
966,0,1,0
967,0,1,0
968,0,1,0
969,0,1,0