node,sit and wait,widely foraging
425,0.535,0.465
426,0.949,0.051
427,0.974,0.026
428,0.97,0.03
429,1,0
430,1,0
431,0.495,0.505
432,0.495,0.505
433,0.995,0.005
434,1,0
435,1,0
436,1,0
437,1,0
438,1,0
439,1,0
440,0.999,0.001
441,1,0
442,1,0
443,1,0
444,1,0
445,0.952,0.048
446,0.744,0.256
447,0.685,0.315
448,0.607,0.393
449,0.24,0.76
450,0.997,0.003
451,1,0
452,0.997,0.003
453,1,0
454,1,0
455,0.999,0.001
456,1,0
457,0.998,0.002
458,1,0
459,1,0
460,1,0
461,1,0
462,1,0
463,1,0
464,0.997,0.003
465,0.997,0.003
466,1,0
467,0.997,0.003
468,0.984,0.016
469,0.926,0.074
470,0.974,0.026
471,0.252,0.748
472,0.256,0.744
473,1,0
474,1,0
475,0.946,0.054
476,1,0
477,0.999,0.001
478,0.985,0.015
479,0.992,0.008
480,1,0
481,0.996,0.004
482,0.999,0.001
483,0.894,0.106
484,1,0
485,0.997,0.003
486,0.999,0.001
487,0.977,0.023
488,1,0
489,1,0
490,0.999,0.001
491,1,0
492,1,0
493,1,0
494,1,0
495,0.998,0.002
496,0.517,0.483
497,0.522,0.478
498,0.601,0.399
499,0.999,0.001
500,1,0
501,0.694,0.306
502,0.963,0.037
503,1,0
504,1,0
505,1,0
506,0.999,0.001
507,0.025,0.975
508,0.001,0.999
509,0,1
510,0,1
511,0,1
512,0,1
513,0,1
514,0,1
515,0,1
516,0,1
517,0.007,0.993
518,0,1
519,0,1
520,0,1
521,0,1
522,0.001,0.999
523,0.001,0.999
524,0,1
525,0,1
526,0,1
527,0,1
528,0.003,0.997
529,0.003,0.997
530,0.04,0.96
531,0,1
532,0,1
533,0,1
534,0,1
535,0,1
536,0,1
537,0,1
538,0,1
539,0,1
540,0,1
541,0,1
542,0,1
543,0,1
544,0,1
545,0,1
546,0,1
547,0,1
548,0,1
549,0.01,0.99
550,0,1
551,0,1
552,0,1
553,0,1
554,0.001,0.999
555,0.001,0.999
556,0,1
557,0,1
558,0,1
559,0,1
560,0.04,0.96
561,0,1
562,0,1
563,0,1
564,0,1
565,0,1
566,0,1
567,0.001,0.999
568,0,1
569,0,1
570,0,1
571,0,1
572,0,1
573,0,1
574,0,1
575,0,1
576,0,1
577,0,1
578,0,1
579,0,1
580,0,1
581,0,1
582,0,1
583,0,1
584,0,1
585,0,1
586,0,1
587,0.462,0.538
588,0.336,0.664
589,0.002,0.998
590,0.002,0.998
591,0.001,0.999
592,0,1
593,0,1
594,0.002,0.998
595,0,1
596,0,1
597,0,1
598,0,1
599,0,1
600,0,1
601,0,1
602,0,1
603,0,1
604,0,1
605,0,1
606,0,1
607,0,1
608,0,1
609,0,1
610,0.001,0.999
611,0,1
612,0,1
613,0,1
614,0,1
615,0,1
616,0,1
617,0,1
618,0,1
619,0,1
620,0,1
621,0,1
622,0,1
623,0,1
624,0,1
625,0.016,0.984
626,0.023,0.977
627,0.073,0.927
628,0,1
629,0,1
630,0,1
631,0,1
632,0,1
633,0.001,0.999
634,0.004,0.996
635,0.058,0.942
636,0.003,0.997
637,0.039,0.961
638,0,1
639,0,1
640,0,1
641,0,1
642,0.007,0.993
643,0.018,0.982
644,0,1
645,0.003,0.997
646,0.088,0.912
647,0,1
648,0,1
649,0,1
650,0,1
651,0,1
652,0,1
653,0,1
654,0,1
655,0,1
656,0,1
657,0,1
658,0,1
659,0,1
660,0,1
661,0.007,0.993
662,0,1
663,0.001,0.999
664,0,1
665,0,1
666,0,1
667,0,1
668,0.479,0.521
669,0.044,0.956
670,0.039,0.961
671,0,1
672,0.043,0.957
673,0.992,0.008
674,0.008,0.992
675,0,1
676,0.001,0.999
677,0,1
678,0,1
679,0.026,0.974
680,0.001,0.999
681,0,1
682,0.032,0.968
683,0,1
684,0,1
685,0,1
686,0,1
687,0,1
688,0,1
689,0,1
690,0,1
691,0,1
692,0.013,0.987
693,0,1
694,0,1
695,0,1
696,0,1
697,0,1
698,0.002,0.998
699,0.011,0.989
700,0.013,0.987
701,0.021,0.979
702,0.002,0.998
703,0.028,0.972
704,0.001,0.999
705,0.916,0.084
706,0.991,0.009
707,0.752,0.248
708,0.948,0.052
709,0.875,0.125
710,0.989,0.011
711,0.999,0.001
712,0.999,0.001
713,0.999,0.001
714,1,0
715,1,0
716,1,0
717,1,0
718,1,0
719,1,0
720,1,0
721,1,0
722,1,0
723,1,0
724,1,0
725,1,0
726,1,0
727,1,0
728,1,0
729,1,0
730,1,0
731,1,0
732,0.999,0.001
733,1,0
734,1,0
735,1,0
736,1,0
737,0.998,0.002
738,0.999,0.001
739,1,0
740,1,0
741,0.997,0.003
742,0.999,0.001
743,0.999,0.001
744,0.991,0.009
745,0.905,0.095
746,0.996,0.004
747,0.998,0.002
748,1,0
749,1,0
750,1,0
751,1,0
752,1,0
753,0.999,0.001
754,0.986,0.014
755,0.952,0.048
756,1,0
757,0.985,0.015
758,1,0
759,1,0
760,1,0
761,1,0
762,1,0
763,1,0
764,1,0
765,1,0
766,1,0
767,1,0
768,1,0
769,1,0
770,1,0
771,1,0
772,1,0
773,1,0
774,1,0
775,1,0
776,1,0
777,1,0
778,1,0
779,1,0
780,1,0
781,1,0
782,1,0
783,1,0
784,1,0
785,1,0
786,1,0
787,1,0
788,1,0
789,0.995,0.005
790,1,0
791,1,0
792,1,0
793,1,0
794,1,0
795,1,0
796,1,0
797,1,0
798,0.999,0.001
799,1,0
800,1,0
801,1,0
802,1,0
803,1,0
804,1,0
805,1,0
806,1,0
807,1,0
808,1,0
809,1,0
810,1,0
811,1,0
812,1,0
813,1,0
814,1,0
815,1,0
816,1,0
817,1,0
818,0.998,0.002
819,0.999,0.001
820,1,0
821,1,0
822,0.968,0.032
823,1,0
824,1,0
825,1,0
826,1,0
827,1,0
828,1,0
829,1,0
830,1,0
831,1,0
832,1,0
833,0.995,0.005
834,1,0
835,1,0
836,1,0
837,1,0
838,1,0
839,1,0
840,1,0
841,1,0
842,1,0
843,1,0
844,1,0
845,1,0
846,1,0
847,1,0